pickup_area,delivery_area,total_revenue,linehaul_cost,total_distance,empty_distance,num_orders
IL-CHI,IN-IND,575.0,598.2149999999999,500.0,305.0,1
IL-CHI,WI-WAU,1879.32,923.095,812.0,561.0,1
IN-FTW,IN-IND,1251.0,676.02,571.0,358.0,1
IN-IND,IA-DAV,743.7,730.264,595.0,338.0,1
IN-IND,IL-CHI,675.95,636.7864999999999,555.0,375.5,2
IN-IND,IN-ELK,695.61,569.988,503.0,350.0,2
IN-IND,MO-STL,1202.11,737.8556666666667,612.0,365.6666666666667,3
IN-IND,OH-CIN,775.0,1124.258,1146.0,1034.0,1
IN-IND,OH-CLE,1260.76,856.293,769.0,301.0,1
IN-IND,OH-COL,678.7,694.6179999999999,602.0,402.0,1
IN-IND,SC-NCH,5687.72,2404.016,2082.0,1388.0,1
KY-LOU,NC-RAL,1000.0,1239.246,889.0,304.0,1
MI-DET,OH-CLE,500.0,522.6220000000001,459.0,316.0,1
MS-TUP,IL-CHI,1173.06,1359.4299999999998,1005.0,400.0,1
NC-RAL,OH-CLE,875.2,1414.292,1144.0,636.0,1
OH-COL,MI-DET,769.8639999999999,680.811,586.0,385.0,5
OH-COL,OH-CIN,650.4,474.372,427.0,310.0,1
